iter	Logloss
0	0.6707288107
1	0.6520505494
2	0.6346674735
3	0.6205884575
4	0.6064378708
5	0.5936925671
6	0.5816919314
7	0.5729516117
8	0.5655540696
9	0.5571855118
10	0.5481197065
11	0.5413077784
12	0.5341209861
13	0.5270068179
14	0.5218989888
15	0.5174082485
16	0.5125731992
17	0.5084870548
18	0.5039801476
19	0.4999927609
20	0.4963199413
21	0.4934041182
22	0.4897076582
23	0.4871210045
24	0.4845301839
25	0.4822506428
26	0.4787479291
27	0.4769041888
28	0.4751412609
29	0.4736532343
30	0.4714475858
31	0.4696930651
32	0.4681478882
33	0.4659498798
34	0.4643945626
35	0.4626446185
36	0.4613702414
37	0.4604643843
38	0.4593612007
39	0.4580518014
40	0.4565540586
41	0.4552089832
42	0.4543859754
43	0.4533521949
44	0.4520827163
45	0.4504155736
46	0.4494213557
47	0.4478851145
48	0.4465290829
49	0.445527717
50	0.4445971008
51	0.4437300698
52	0.4429067743
53	0.4422403893
54	0.4413716248
55	0.4406844041
56	0.4398551959
57	0.4392328892
58	0.4386960671
59	0.4381094837
60	0.4372745911
61	0.4364970997
62	0.435767652
63	0.4350935785
64	0.4342652373
65	0.4336526252
66	0.4328121987
67	0.4327234138
68	0.4321986432
69	0.431553984
70	0.4310810193
71	0.4304588296
72	0.42999114
73	0.4295867718
74	0.4291343189
75	0.4284080167
76	0.4283366924
77	0.4279485927
78	0.4273992042
79	0.4269813358
80	0.426509739
81	0.4264753843
82	0.4260085744
83	0.4258954348
84	0.425058962
85	0.4245495732
86	0.4239171683
87	0.423642867
88	0.4232851316
89	0.4232087577
90	0.4231093778
91	0.4226575158
92	0.4221038584
93	0.4216023249
94	0.4213645823
95	0.4212822227
96	0.4208344068
97	0.420796791
98	0.4202538604
99	0.4199066815
100	0.4195548654
101	0.4193028543
102	0.4190478474
103	0.4187692328
104	0.4182384993
105	0.4175111374
106	0.4171562995
107	0.416897302
108	0.4164609547
109	0.4161163944
110	0.4157480604
111	0.4152392174
112	0.4146029549
113	0.4143304579
114	0.4138621692
115	0.4135908952
116	0.4130693413
117	0.4125137475
118	0.4120193766
119	0.4119558365
120	0.4118373876
121	0.4112429467
122	0.4108754734
123	0.4107546702
124	0.4102978927
125	0.4098364004
126	0.409607393
127	0.4092233716
128	0.4090516105
129	0.408732899
130	0.4081482065
131	0.4078645291
132	0.4073570762
133	0.4073004101
134	0.40694443
135	0.4069366584
136	0.4064950143
137	0.4062790901
138	0.4057119057
139	0.4053952754
140	0.405115491
141	0.4046708834
142	0.404509773
143	0.4039187539
144	0.4036176242
145	0.403350551
146	0.40306926
147	0.4028458287
148	0.4022368259
149	0.401908789
150	0.4015363063
151	0.4010719056
152	0.4007287252
153	0.4005022077
154	0.400155875
155	0.3996088101
156	0.3991134184
157	0.3987103399
158	0.3985478317
159	0.3984364328
160	0.3982822304
161	0.3980717386
162	0.3978523574
163	0.3974417713
164	0.3970224921
165	0.3966891215
166	0.3963293295
167	0.3961404627
168	0.3956488461
169	0.3952906527
170	0.3949803717
171	0.3945867038
172	0.3942743534
173	0.3938131844
174	0.3936431917
175	0.3932417083
176	0.3927731409
177	0.3924375911
178	0.3921873336
179	0.3920292052
180	0.3917862271
181	0.3914052376
182	0.3912405093
183	0.3907962684
184	0.3905484949
185	0.3903349939
186	0.3900309681
187	0.3898442901
188	0.3896417668
189	0.3893398257
190	0.3890024064
191	0.3886777225
192	0.3885009575
193	0.3882755419
194	0.3880883712
195	0.3877849848
196	0.3875865996
197	0.3873788971
198	0.3870972922
199	0.3868283562
